marker,minimum_calls,time_group,n_profiles,n_sites,n_calls,U,H,T,HV,J,C,D,W,A,I,R,Other,F,K,N,G,M,Q,Basal/unresolved,E,L
mtDNA,1,E1 -3500 to -3001 CE-axis,10,10,36,0.24761904761904763,0.04285714285714286,0.009523809523809523,0.08571428571428572,0.019047619047619046,0.1,0.0,0.33333333333333337,0.0,0.05714285714285714,0.03809523809523809,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,,,,
mtDNA,1,E2 -3000 to -2501 CE-axis,7,7,18,0.06349206349206349,0.07936507936507937,0.0,0.14285714285714285,0.09523809523809523,0.17460317460317462,0.0,0.015873015873015872,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,,,,
mtDNA,1,E3 -2500 to -2001 CE-axis,9,9,44,0.2968253968253968,0.006349206349206349,0.22857142857142854,0.01904761904761905,0.012698412698412698,0.2222222222222222,0.0,0.01904761904761905,0.0,0.05873015873015873,0.12380952380952381,0.0,0.0,0.0,0.009523809523809525,0.0,0.0031746031746031746,,,,
mtDNA,1,E4 -2000 to -1501 CE-axis,24,24,86,0.2856316137566137,0.11825396825396826,0.20497685185185185,0.1267526455026455,0.047271825396825395,0.0,0.0,0.01011904761904762,0.0,0.002976190476190476,0.05902777777777778,0.005208333333333333,0.0,0.027281746031746032,0.09166666666666667,0.020833333333333332,0.0,,,,
mtDNA,1,E5 -1500 to -1001 CE-axis,19,19,38,0.3742690058479532,0.16959064327485382,0.1286549707602339,0.032163742690058485,0.12280701754385966,0.02631578947368421,0.0,0.07602339181286549,0.008771929824561403,0.008771929824561403,0.011695906432748537,0.0,0.0,0.008771929824561403,0.032163742690058485,0.0,0.0,,,,
mtDNA,1,E6 -1000 to -501 CE-axis,32,32,45,0.2552083333333333,0.15364583333333331,0.078125,0.046875,0.05208333333333333,0.140625,0.078125,0.046875,0.049479166666666664,0.046875,0.0,0.010416666666666666,0.041666666666666664,0.0,0.0,0.0,0.0,,,,
mtDNA,1,E7 -500 to -1 CE-axis,31,31,76,0.24425770308123246,0.04394144754676064,0.02453239360260233,0.044930875576036866,0.08548387096774193,0.05138248847926267,0.12394054395951928,0.04490828589500316,0.09784946236559139,0.02150537634408602,0.0,0.03795066413662239,0.0,0.018026565464895637,0.03225806451612903,0.12903225806451613,0.0,,,,
mtDNA,1,E8 0 to 499 CE-axis,22,22,62,0.12368490095762823,0.10252525252525252,0.006493506493506493,0.012987012987012986,0.05867768595041322,0.14706152433425163,0.21549586776859506,0.010625737898465172,0.13613406795224978,0.029220779220779217,0.0,0.008264462809917356,0.03140495867768595,0.07954545454545454,0.00505050505050505,0.02777777777777778,0.00505050505050505,,,,
mtDNA,1,E9 500 to 999 CE-axis,12,12,20,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.016666666666666666,0.041666666666666664,0.20833333333333334,0.0,0.21666666666666667,0.0,0.0,0.041666666666666664,0.16666666666666666,0.0,0.0,0.016666666666666666,0.125,,,,
mtDNA,1,E10 1000 to 1499 CE-axis,7,7,13,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.07142857142857142,0.35714285714285715,0.0,0.0,0.07142857142857142,0.0,0.047619047619047616,0.32142857142857145,0.0,0.0,0.03571428571428571,0.0,,,,
