marker,minimum_calls,transition,interval_years,tv,n_profiles_first,n_profiles_second,interpretation
mtDNA,1,E1 -3500 to -3001 CE-axis -> E2 -3000 to -2501 CE-axis,500,0.6349206349206349,10,7,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,1,E2 -3000 to -2501 CE-axis -> E3 -2500 to -2001 CE-axis,500,0.584126984126984,7,9,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,1,E3 -2500 to -2001 CE-axis -> E4 -2000 to -1501 CE-axis,500,0.3896494708994709,9,24,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,1,E4 -2000 to -1501 CE-axis -> E5 -1500 to -1001 CE-axis,500,0.3222970620996937,24,19,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,1,E5 -1500 to -1001 CE-axis -> E6 -1000 to -501 CE-axis,500,0.3380391081871345,19,32,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,1,E6 -1000 to -501 CE-axis -> E7 -500 to -1 CE-axis,500,0.3344372628083492,32,31,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,1,E7 -500 to -1 CE-axis -> E8 0 to 499 CE-axis,500,0.3897925259146581,31,22,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,1,E8 0 to 499 CE-axis -> E9 500 to 999 CE-axis,500,0.47466548602912234,22,12,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,1,E9 500 to 999 CE-axis -> E10 1000 to 1499 CE-axis,500,0.4357142857142857,12,7,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,2,E1 -3500 to -3001 CE-axis -> E2 -3000 to -2501 CE-axis,500,0.4748677248677248,4,3,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,2,E2 -3000 to -2501 CE-axis -> E3 -2500 to -2001 CE-axis,500,0.6433862433862434,3,2,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,2,E3 -2500 to -2001 CE-axis -> E4 -2000 to -1501 CE-axis,500,0.4305026455026455,2,15,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,2,E4 -2000 to -1501 CE-axis -> E5 -1500 to -1001 CE-axis,500,0.3094179894179895,15,7,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,2,E5 -1500 to -1001 CE-axis -> E6 -1000 to -501 CE-axis,500,0.39434523809523814,7,8,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,2,E6 -1000 to -501 CE-axis -> E7 -500 to -1 CE-axis,500,0.303483893557423,8,12,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,2,E7 -500 to -1 CE-axis -> E8 0 to 499 CE-axis,500,0.29261628893981834,12,10,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,2,E8 0 to 499 CE-axis -> E9 500 to 999 CE-axis,500,0.5137445887445886,10,5,Equal-width-bin dissimilarity; not a lineage-change velocity.
mtDNA,2,E9 500 to 999 CE-axis -> E10 1000 to 1499 CE-axis,500,0.5599999999999999,5,3,Equal-width-bin dissimilarity; not a lineage-change velocity.
Y,1,E1 -3500 to -3001 CE-axis -> E2 -3000 to -2501 CE-axis,500,0.68,5,2,Equal-width-bin dissimilarity; not a lineage-change velocity.
Y,1,E2 -3000 to -2501 CE-axis -> E3 -2500 to -2001 CE-axis,500,0.7,2,7,Equal-width-bin dissimilarity; not a lineage-change velocity.
Y,1,E3 -2500 to -2001 CE-axis -> E4 -2000 to -1501 CE-axis,500,0.638095238095238,7,18,Equal-width-bin dissimilarity; not a lineage-change velocity.
Y,1,E4 -2000 to -1501 CE-axis -> E5 -1500 to -1001 CE-axis,500,0.13538359788359794,18,8,Equal-width-bin dissimilarity; not a lineage-change velocity.
Y,1,E5 -1500 to -1001 CE-axis -> E6 -1000 to -501 CE-axis,500,0.18154761904761912,8,21,Equal-width-bin dissimilarity; not a lineage-change velocity.
Y,1,E6 -1000 to -501 CE-axis -> E7 -500 to -1 CE-axis,500,0.24662698412698414,21,24,Equal-width-bin dissimilarity; not a lineage-change velocity.
Y,1,E7 -500 to -1 CE-axis -> E8 0 to 499 CE-axis,500,0.1894444444444444,24,20,Equal-width-bin dissimilarity; not a lineage-change velocity.
Y,1,E8 0 to 499 CE-axis -> E9 500 to 999 CE-axis,500,0.3966666666666667,20,10,Equal-width-bin dissimilarity; not a lineage-change velocity.
Y,1,E9 500 to 999 CE-axis -> E10 1000 to 1499 CE-axis,500,0.525,10,6,Equal-width-bin dissimilarity; not a lineage-change velocity.
Y,2,E1 -3500 to -3001 CE-axis -> E2 -3000 to -2501 CE-axis,500,0.6,3,1,Equal-width-bin dissimilarity; not a lineage-change velocity.
Y,2,E2 -3000 to -2501 CE-axis -> E3 -2500 to -2001 CE-axis,500,0.95,1,2,Equal-width-bin dissimilarity; not a lineage-change velocity.
Y,2,E3 -2500 to -2001 CE-axis -> E4 -2000 to -1501 CE-axis,500,0.8238095238095239,2,10,Equal-width-bin dissimilarity; not a lineage-change velocity.
Y,2,E4 -2000 to -1501 CE-axis -> E5 -1500 to -1001 CE-axis,500,0.19809523809523807,10,5,Equal-width-bin dissimilarity; not a lineage-change velocity.
