y_encoding,marker,transition,first_bin,second_bin,n_sites_first,n_sites_second,n_calls_first,n_calls_second,observed_site_balanced_tv,null_expected_tv_noise_floor,null_noise_ci_low,null_noise_ci_high,noise_floor_subtracted_tv,working_model_true_tv,working_model_expected_plugin_tv,working_model_estimated_bias,parametric_bias_corrected_tv,simulation_draws,assumption
broad_L1,mtDNA,B1 3500-2501 BCE -> B2 2500-1801 BCE,B1 3500-2501 BCE,B2 2500-1801 BCE,6,8,20,26,0.6164351851851851,0.4899592824074074,0.27337384259259256,0.7175925925925926,0.12647590277777776,0.20137299771167047,0.5594913194444444,0.3581183217327739,0.2583168634524112,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
broad_L1,mtDNA,B2 2500-1801 BCE -> B3 1800-901 BCE,B2 2500-1801 BCE,B3 1800-901 BCE,8,20,26,48,0.34791666666666665,0.4150429166666667,0.24791666666666667,0.6041666666666666,0.0,0.2949852507374632,0.5086,0.21361474926253687,0.13430191740412978,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
broad_L1,mtDNA,B3 1800-901 BCE -> B4 900-201 BCE,B3 1800-901 BCE,B4 900-201 BCE,20,35,48,46,0.4678571428571429,0.3232959523809524,0.19940476190476192,0.46667410714285706,0.14456119047619054,0.3419663879191362,0.4594477678571429,0.11748137993800672,0.3503757629191362,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
broad_L1,mtDNA,B4 900-201 BCE -> B5 200 BCE-300 CE,B4 900-201 BCE,B5 200 BCE-300 CE,35,17,46,33,0.44957983193277307,0.3543811904761905,0.2151155462184874,0.5098039215686274,0.09519864145658258,0.29114623632143255,0.45622883753501403,0.16508260121358148,0.2844972307191916,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
broad_L1,mtDNA,B5 200 BCE-300 CE -> B6 301-650 CE,B5 200 BCE-300 CE,B6 301-650 CE,17,14,33,23,0.6183473389355741,0.4263869397759103,0.259453781512605,0.6099527310924369,0.19196039915966384,0.35991585389175745,0.5531831932773109,0.19326733938555346,0.4250799995500207,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
broad_L1,mtDNA,B6 301-650 CE -> B7 651-1000 CE,B6 301-650 CE,B7 651-1000 CE,14,9,23,13,0.6216931216931216,0.5076902777777778,0.30818452380952377,0.7175925925925924,0.11400284391534388,0.38242894056847543,0.6224453703703704,0.24001642980189497,0.38167669189122666,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
broad_L1,mtDNA,B7 651-1000 CE -> B8 1001-1500 CE,B7 651-1000 CE,B8 1001-1500 CE,9,6,13,7,0.5,0.598725,0.3333333333333333,0.8611111111111112,0.0,0.2895723930982746,0.6903944444444443,0.4008220513461697,0.09917794865383028,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
broad_L1,Y,B1 3500-2501 BCE -> B2 2500-1801 BCE,B1 3500-2501 BCE,B2 2500-1801 BCE,6,8,20,26,0.3668981481481482,0.3867402777777778,0.17731481481481481,0.6321759259259259,0.0,0.29173636667781866,0.46165495370370374,0.16991858702588508,0.1969795611222631,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
broad_L1,Y,B2 2500-1801 BCE -> B3 1800-901 BCE,B2 2500-1801 BCE,B3 1800-901 BCE,8,20,26,48,0.5520833333333333,0.28968041666666666,0.13541666666666666,0.48750000000000004,0.2624029166666666,0.546135831381733,0.6080047916666668,0.061868960284933716,0.49021437304839954,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
broad_L1,Y,B3 1800-901 BCE -> B4 900-201 BCE,B3 1800-901 BCE,B4 900-201 BCE,20,35,48,46,0.24226190476190484,0.1784073214285714,0.07886904761904762,0.31160714285714286,0.06385458333333344,0.18425271098538426,0.2487938988095238,0.06454118782413953,0.1777207169377653,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
broad_L1,Y,B4 900-201 BCE -> B5 200 BCE-300 CE,B4 900-201 BCE,B5 200 BCE-300 CE,35,17,46,33,0.16876750700280116,0.2362806862745098,0.11008053221288513,0.3973459383753501,0.0,0.2724752475247525,0.3716959243697479,0.09922067684499541,0.06954683015780574,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
broad_L1,Y,B5 200 BCE-300 CE -> B6 301-650 CE,B5 200 BCE-300 CE,B6 301-650 CE,17,14,33,23,0.2713585434173669,0.30371754201680673,0.14670868347338933,0.49580707282913156,0.0,0.27878787878787875,0.41092976190476194,0.13214188311688319,0.13921666030048374,10000,"Fixed observed site sample sizes; multinomial sampling; Jeffreys-smoothed individual-count compositions; no extra site heterogeneity. Noise-floor subtraction is a sensitivity, not an unbiased estimator."
