project_record_id,country,site_key,analysis_bin,study_key,molecular_sex,mt_category,y_category,y_prefix_category,mt_called,y_called,strict_qc,population_outlier,direct_date,date_bp,date_sd_bp,kin_representative_mt,kin_representative_y,latitude_0_1deg,longitude_0_1deg
CAU000001,Kazakhstan,SITE0018,B1 3500-2501 BCE,STUDY005,F,Other,,,True,False,True,False,True,5396,42,True,False,53.3,67.6
CAU000002,Kazakhstan,SITE0018,B1 3500-2501 BCE,STUDY005,M,K,R,R1b,True,True,True,False,True,5337,102,True,True,53.3,67.6
CAU000003,Kazakhstan,SITE0058,B1 3500-2501 BCE,STUDY012,F,C,,,True,False,True,False,True,5164,77,False,False,49.5,58.5
CAU000004,Kazakhstan,SITE0018,B1 3500-2501 BCE,STUDY005,M,R,N,N,True,True,True,False,True,5143,95,True,True,53.3,67.6
CAU000005,Kazakhstan,SITE0070,B1 3500-2501 BCE,STUDY012,F,U,,,True,False,True,False,True,5021,87,True,False,50.8,49.3
CAU000006,Kazakhstan,SITE0058,B1 3500-2501 BCE,STUDY012,F,C,,,True,False,True,False,True,4937,46,False,False,49.5,58.5
CAU000007,Kazakhstan,SITE0058,B1 3500-2501 BCE,STUDY012,F,H,,,True,False,True,False,True,4921,38,True,False,49.5,58.5
CAU000008,Kazakhstan,SITE0058,B1 3500-2501 BCE,STUDY012,M,U,Q,Q1b,True,True,True,False,True,4918,37,False,True,49.5,58.5
CAU000009,Kazakhstan,SITE0058,B1 3500-2501 BCE,STUDY011,F,,,,False,False,True,True,False,4900,29,False,False,49.5,58.5
CAU000010,Kazakhstan,SITE0058,B1 3500-2501 BCE,STUDY011,F,U,,,True,False,True,False,False,4900,29,False,False,49.5,58.5
CAU000011,Kazakhstan,SITE0058,B1 3500-2501 BCE,STUDY011,M,U,R,R1b,True,True,True,False,False,4900,29,False,True,49.5,58.5
CAU000012,Kazakhstan,SITE0058,B1 3500-2501 BCE,STUDY011,M,C,Q,Q1b,True,True,True,False,False,4900,29,True,True,49.5,58.5
CAU000013,Kazakhstan,SITE0058,B1 3500-2501 BCE,STUDY011,F,H,,,True,False,True,False,False,4900,29,True,False,49.5,58.5
CAU000014,Kazakhstan,SITE0058,B1 3500-2501 BCE,STUDY011,F,,,,False,False,True,False,False,4900,29,False,False,49.5,58.5
CAU000015,Kazakhstan,SITE0058,B1 3500-2501 BCE,STUDY011,M,W,Q,Q1b,True,True,True,False,False,4900,29,True,True,49.5,58.5
CAU000016,Kazakhstan,SITE0058,B1 3500-2501 BCE,STUDY011,M,U,R,R1b,True,True,True,False,False,4900,29,True,False,49.5,58.5
CAU000017,Kazakhstan,SITE0058,B1 3500-2501 BCE,STUDY011,F,,,,False,False,False,False,False,4900,29,False,False,49.5,58.5
CAU000018,Kazakhstan,SITE0037,B1 3500-2501 BCE,STUDY005,M,R,R,R1b,True,True,True,False,True,4890,44,True,True,49.1,75.9
CAU000019,Kazakhstan,SITE0012,B1 3500-2501 BCE,STUDY003,F,A,,,True,False,True,False,True,4858,24,True,False,52.2,64.5
CAU000020,Kazakhstan,SITE0023,B1 3500-2501 BCE,STUDY012,F,R,,,True,False,True,False,True,4577,88,True,False,45.1,79.4
CAU000021,Kazakhstan,SITE0090,B1 3500-2501 BCE,STUDY005,F,C,,,True,False,True,False,True,4480,46,True,False,52.6,76.7
CAU000022,Kazakhstan,SITE0070,B2 2500-1801 BCE,STUDY012,M,I,N,N,True,True,True,False,True,4328,51,True,True,50.8,49.3
CAU000023,Kazakhstan,SITE0088,B2 2500-1801 BCE,STUDY003,M,U,N,N,True,True,True,False,True,4185,20,True,True,52.4,76.8
CAU000024,Kazakhstan,SITE0028,B2 2500-1801 BCE,STUDY005,F,C,,,True,False,True,False,True,4108,68,True,False,51.6,74.7
CAU000025,Kazakhstan,SITE0070,B2 2500-1801 BCE,STUDY012,M,U,N,N,True,True,True,False,True,4046,45,True,True,50.8,49.3
CAU000026,Kazakhstan,SITE0036,B2 2500-1801 BCE,STUDY012,M,T,C,C2a,True,True,True,False,True,4042,43,True,True,48.8,83.9
