analysis_bin,n_profiles,median,q1,q3,marker
B1 3500-2501 BCE,12,0.8823308770125533,0.7956257418682274,0.9802608138427346,mtDNA
B2 2500-1801 BCE,15,0.8787455405827279,0.7365718425000012,0.9667732249734491,mtDNA
B3 1800-901 BCE,32,0.7381841792425037,0.6515599396589613,0.9887110263147246,mtDNA
B4 900-201 BCE,50,0.943792708354839,0.8081985110972584,1.0062552093305124,mtDNA
B5 200 BCE-300 CE,22,0.9075124709624021,0.8385823842951999,0.9849426507383298,mtDNA
B6 301-650 CE,15,0.9260759062782217,0.729180778209534,0.9958167899040549,mtDNA
B7 651-1000 CE,9,0.8834984918459795,0.841038810276171,1.0649521001845077,mtDNA
B8 1001-1500 CE,7,0.9172902246493798,0.747457070348692,0.95864511232469,mtDNA
B1 3500-2501 BCE,6,0.6889061728117628,0.5455659900918017,0.7170906635557882,Y
B2 2500-1801 BCE,6,0.7071067811865475,0.6643630708044391,0.9868692825976193,Y
B3 1800-901 BCE,19,0.15526695847093933,0.15526695847093933,0.651583577594846,Y
B4 900-201 BCE,35,0.49506562209436883,0.4683411855095054,1.0031282509874977,Y
B5 200 BCE-300 CE,15,0.6081605264277391,0.5229536696501673,0.8941611461412482,Y
B6 301-650 CE,13,0.6795414744774492,0.5656288270881511,0.9822818685713892,Y
B7 651-1000 CE,8,0.5851064139364157,0.5851064139364157,0.9559174059813452,Y
B8 1001-1500 CE,6,1.0000000000000002,0.8530142766065192,1.0429635935755428,Y
