analysis_bin,estimate,bootstrap_median,ci_low,ci_high,marker
B1 3500-2501 BCE,8.093048200624892,6.554983683676083,3.9790246719649702,9.062601943394123,mtDNA
B2 2500-1801 BCE,7.379248957265796,6.201774137108201,3.8693041511623045,8.084367719055045,mtDNA
B3 1800-901 BCE,7.055987150309048,6.440045824163488,4.921397857644186,7.980173677647415,mtDNA
B4 900-201 BCE,10.623304220536607,9.618268989775657,7.782964637864595,11.31712458807761,mtDNA
B5 200 BCE-300 CE,10.214034086894056,8.70941259616154,6.43027850524312,10.657365619455039,mtDNA
B6 301-650 CE,7.2813586669284875,6.183510890967897,3.6799428266075522,8.21449812215468,mtDNA
B7 651-1000 CE,6.547590282039013,4.949382822787824,2.82842712474619,7.2084694477373095,mtDNA
B8 1001-1500 CE,5.277663440328071,4.154241736156385,1.7547653506033232,6.74320466590777,mtDNA
B1 3500-2501 BCE,3.285169284897407,2.8339410209608755,1.6493848884661177,3.8159478758117276,Y
B2 2500-1801 BCE,6.591034776597058,5.166475240287574,2.6721125287745453,7.011068831912706,Y
B3 1800-901 BCE,2.1432364836940008,2.0388437939696944,1.2745677574480623,2.988571913288207,Y
B4 900-201 BCE,3.4659615632136758,3.232726180688596,2.3009088023701447,4.245160487114001,Y
B5 200 BCE-300 CE,4.276680043389716,3.8544404662983984,2.5119551174189625,5.400678213580136,Y
B6 301-650 CE,4.775937641482476,4.116792112531315,2.6245558563829885,5.732688816356277,Y
B7 651-1000 CE,2.606479030434107,2.4402924064128437,1.5691925832141966,2.955151668305907,Y
B8 1001-1500 CE,4.3393906252572325,3.014496776569347,1.4575692649810903,4.710650674213246,Y
