transition,estimate,bootstrap_median,ci_low,ci_high,marker
B1 3500-2501 BCE -> B2 2500-1801 BCE,0.4751904345654346,0.5907051282051282,0.37957972256501665,0.8014299242424242,mtDNA
B2 2500-1801 BCE -> B3 1800-901 BCE,0.3123962842712843,0.387387454780964,0.22157520864552113,0.6065500590418351,mtDNA
B3 1800-901 BCE -> B4 900-201 BCE,0.42805805305805306,0.47550019425019424,0.3547937286025521,0.5986515174980248,mtDNA
B4 900-201 BCE -> B5 200 BCE-300 CE,0.296958348556814,0.39261682934043185,0.2562824518863017,0.5667619286803443,mtDNA
B5 200 BCE-300 CE -> B6 301-650 CE,0.5795289855072464,0.6315957190957191,0.479003432311622,0.8227540784832451,mtDNA
B6 301-650 CE -> B7 651-1000 CE,0.553125,0.625,0.4176441940412529,0.8687620192307691,mtDNA
B7 651-1000 CE -> B8 1001-1500 CE,0.33214285714285713,0.5194444444444444,0.2638888888888889,0.8333333333333334,mtDNA
B1 3500-2501 BCE -> B2 2500-1801 BCE,0.44206349206349205,0.5222222222222223,0.2569270833333333,0.8333333333333333,Y
B2 2500-1801 BCE -> B3 1800-901 BCE,0.5949074074074074,0.6346440018315018,0.31743977473144136,0.9061259920634919,Y
B3 1800-901 BCE -> B4 900-201 BCE,0.2453703703703704,0.26562500000000006,0.12139356737012988,0.4409667446524063,Y
B4 900-201 BCE -> B5 200 BCE-300 CE,0.19662309368191722,0.27083333333333337,0.13689123376623374,0.4488676619433196,Y
B5 200 BCE-300 CE -> B6 301-650 CE,0.2913165266106442,0.36349067599067597,0.18181292087542086,0.6155018957650535,Y
B6 301-650 CE -> B7 651-1000 CE,0.6488095238095238,0.6759259259259258,0.47916666666666663,0.8749999999999999,Y
B7 651-1000 CE -> B8 1001-1500 CE,0.638888888888889,0.6666666666666666,0.3,1.0,Y
